content_idx,title,img,dsc,category_idx
1,2025 팝 히트곡,pop_hit.jpg,최신 팝 음악 컬렉션입니다. 🎵,1
2,락 클래식,rock_classics.jpg,영원한 락 명곡 모음. 🤘,1
3,재즈 바이브,jazz_vibes.jpg,편안한 재즈 음악. ☕,1
4,힙합 비트 2025,hiphop_beat.jpg,최신 힙합 비트 모음. 🎤,1
5,클래식 명곡,classical_hits.jpg,영감 받은 클래식 음악. 🎻,1
6,일렉트로닉 댄스,edm_dance.jpg,파티를 위한 EDM 트랙. 🕺,1
7,팝 발라드,pop_ballad.jpg,감성적인 팝 발라드. 💖,1
8,락 에너지,rock_energy.jpg,강렬한 락 사운드. ⚡,1
9,재즈 나이트,jazz_night.jpg,밤을 위한 재즈. 🌙,1
10,힙합 소울,hiphop_soul.jpg,소울풀한 힙합 트랙. 🎶,1
11,클래식 피아노,piano_classics.jpg,피아노 중심 클래식. 🎹,1
12,일렉트로닉 비트,electro_beat.jpg,미래적인 전자 음악. 🌌,1
13,팝 댄스,pop_dance.jpg,춤추기 좋은 팝 곡. 💃,1
14,락 레전드,rock_legends.jpg,전설적인 락 명곡. 🎸,1
15,재즈 소울,jazz_soul.jpg,소울이 담긴 재즈. 🎷,1
16,힙합 플로우,hiphop_flow.jpg,강렬한 힙합 플로우. 🎙️,1
17,클래식 오케스트라,orchestra_classics.jpg,오케스트라 명곡. 🎼,1
18,일렉트로닉 드림,edm_dream.jpg,꿈같은 EDM 트랙. ✨,1
19,팝 히트,pop_hit2.jpg,2025년 팝 히트곡. 🎉,1
20,락 파워,rock_power.jpg,강력한 락 에너지. 🔥,1
21,재즈 라운지,jazz_lounge.jpg,라운지 스타일 재즈. 🍸,1
22,힙합 스트리트,hiphop_street.jpg,스트리트 힙합 바이브. 🛹,1
23,클래식 바이올린,violin_classics.jpg,바이올린 중심 클래식. 🎻,1
24,일렉트로닉 웨이브,electro_wave.jpg,웨이브 스타일 EDM. 🌊,1
25,팝 러브,pop_love.jpg,사랑스러운 팝 곡. 💕,1
26,락 소울,rock_soul.jpg,소울이 담긴 락 음악. 🎵,1
27,재즈 블루스,jazz_blues.jpg,블루스 재즈 사운드. 🎸,1
28,힙합 에너지,hiphop_energy.jpg,에너지 넘치는 힙합. ⚡,1
29,클래식 심포니,symphony_classics.jpg,심포니 스타일 클래식. 🎼,1
30,일렉트로닉 파티,edm_party.jpg,파티 EDM 트랙. 🎈,1
31,팝 스타,pop_star.jpg,스타일리시한 팝 곡. 🌟,1
32,락 드림,rock_dream.jpg,꿈같은 락 사운드. 🌌,1
33,재즈 히트,jazz_hit.jpg,인기 재즈 트랙. 🎷,1
