todo_idx,created_at,text,todo_group,color,ac_idx
1,"2025-05-15 09:00:00","영화 보기 📽️","일상","#FF0000",1
2,"2025-05-15 09:05:00","드라마 정주행 📺","취미","#00FF00",1
3,"2025-05-15 09:10:00","애니메이션 추천받기 🎬","일상","#0000FF",2
4,"2025-05-15 09:15:00","음악 듣기 🎵","휴식","#FFFF00",2
5,"2025-05-15 09:20:00","영화 리뷰 작성 ✍️","일상","#FF00FF",3
6,"2025-05-15 09:25:00","드라마 정리 📝","취미","#00FFFF",3
7,"2025-05-15 09:30:00","애니메이션 보기 🎉","휴식","#FFA500",4
8,"2025-05-15 09:35:00","음악 플레이리스트 만들기 🎶","일상","#800080",4
9,"2025-05-15 09:40:00","SF 영화 보기 🌌","취미","#008000",5
10,"2025-05-15 09:45:00","로맨스 드라마 보기 💕","휴식","#FFC0CB",5
11,"2025-05-15 09:50:00","애니메이션 기록 📊","일상","#FFD700",6
12,"2025-05-15 09:55:00","음악 감상 🎧","휴식","#4682B4",6
13,"2025-05-15 10:00:00","호러 영화 보기 😱","취미","#FF4500",7
14,"2025-05-15 10:05:00","코미디 드라마 보기 😂","일상","#DAA520",8
15,"2025-05-15 10:10:00","판타지 애니 보기 🐉","휴식","#ADFF2F",9
